Balance,Time

10000.000000,Fri Dec 23 12:02:08 2022
10000.000000,Fri Dec 23 12:02:22 2022
10000.000000,Fri Dec 23 12:02:30 2022
10000.000000,Fri Dec 23 12:02:36 2022
9953.000000,Fri Dec 23 12:03:46 2022
10000.000000,Fri Dec 23 12:03:51 2022
9953.000000,Fri Dec 23 12:03:54 2022
9953.000000,Fri Dec 23 12:03:58 2022
9953.000000,Fri Dec 23 12:04:15 2022
9953.000000,Fri Dec 23 12:05:27 2022
10000.000000,Fri Dec 23 12:05:33 2022
9953.000000,Fri Dec 23 12:05:38 2022
9953.000000,Fri Dec 23 12:06:10 2022
9953.000000,Fri Dec 23 12:06:51 2022
11153.000000,Fri Dec 23 12:08:18 2022
11153.000000,Fri Dec 23 12:10:41 2022
